AGS,Name,2020,2019,2018,AGS2
09176148,Mörnsheim.M,42.7,43.2,43.4,9176148
09176149,Nassenfels.M,40.2,40.2,40,9176149
09176150,Oberdolling,42.2,42.2,41.9,9176150
09176153,Pförring.M,42.6,42.8,42.8,9176153
09176155,Pollenfeld,41.1,40.8,40.8,9176155
09176160,Schernfeld,40.9,40.7,41,9176160
09176161,Stammham,40.9,41,40.9,9176161
09176164,Titting.M,42.6,42.6,42.3,9176164
09176165,Walting,42.6,42.5,41.7,9176165
09176166,Wellheim.M,44.5,44.7,44.1,9176166
09176167,Wettstetten,43,42.5,42.7,9176167
09177112,Berglern,40,39.4,39.2,9177112
09177113,Bockhorn,41.9,41.6,41.6,9177113
09177114,Bucha.Buchrain,43.6,43.5,43.1,9177114
09177115,Dorfen.St,43.3,43.2,43.1,9177115
09177116,Eitting,40.2,40.2,39.9,9177116
09177117,Erding.GKSt,42.9,42.8,42.6,9177117
09177118,Finsing,41.6,41.4,41.2,9177118
09177119,Forstern,41.2,41,40.8,9177119
09177120,Fraunberg,41.4,41.4,41.4,9177120
09177121,Hohenpolding,42.5,43,42.9,9177121
09177122,Inninga.Holz,43.4,43.6,43.4,9177122
09177123,Isen.M,43.2,42.9,42.5,9177123
09177124,Kirchberg,41.8,41.8,42.2,9177124
09177126,Langenpreising,42.7,42.6,42.3,9177126
09177127,Lengdorf,42.7,42.5,42.6,9177127
09177130,Moosinning,42.5,42.2,41.9,9177130
09177131,Neuching,41.7,41.6,41.3,9177131
09177133,Oberding,41.5,41.2,41,9177133
09177134,Ottenhofen,43.1,42.5,42,9177134
09177135,Pastetten,41.3,41,41.1,9177135
09177137,SanktWolfgang,42.9,42.7,42.6,9177137
09177138,Steinkirchen,43,43.2,42.9,9177138
09177139,Taufkirchen(Vils),43.2,43.1,43.3,9177139
09177142,Walpertskirchen,41.4,41.2,41.3,9177142
09177143,Wartenberg.M,42.3,42.1,42,9177143
09177144,Wörth,43.9,43.7,43.4,9177144
09178113,Allershausen,40.9,40.8,40.6,9178113
09178115,Attenkirchen,43.2,42.5,42.1,9178115
09178116,Aui.d.Hallertau.M,43.1,42.8,42.6,9178116
09178120,Eching,42.4,42.2,42,9178120
09178122,Rudelzhausen,42.3,41.9,41.9,9178122
09178123,Fahrenzhausen,41.5,41.5,40.9,9178123
09178124,Freising.GKSt,40.9,40.6,40.5,9178124
09178125,Gammelsdorf,42.9,42.7,42.2,9178125
09178129,Haaga.d.Amper,42.5,42,41.7,9178129
09178130,Hallbergmoos,39.2,39,38.7,9178130
09178132,Hörgertshausen,43,42.7,42.9,9178132
09178133,Hohenkammer,41.4,41.1,40.9,9178133
09178136,Kirchdorfa.d.Amper,40.6,39.9,39.7,9178136
09178137,Kranzberg,43.3,43.4,43.1,9178137
09178138,Langenbach,42.6,42.1,42,9178138
09178140,Marzling,42.5,42.3,42.4,9178140
09178142,Mauern,41.2,41,40.8,9178142
09178143,Moosburga.d.Isar.St,42.7,42.7,42.6,9178143
09178144,Nandlstadt.M,42.5,42.5,42.3,9178144
09178145,Neufahrnb.Freising,41.8,41.6,41.4,9178145
09178150,Paunzhausen,43.2,43.1,43.2,9178150
09178155,Wang,42.1,42,41.3,9178155
09178156,Wolfersdorf,40.4,40.3,40.1,9178156
09178157,Zolling,41.8,41.8,41.6,9178157
09179111,Adelshofen,43.1,42.6,42.6,9179111
09179113,Alling,43.3,42.8,42.7,9179113
09179114,Althegnenberg,41.9,41.9,42.2,9179114
09179117,Egenhofen,43.2,42.9,42.8,9179117
09179118,Eichenau,46.6,46.4,46.2,9179118
09179119,Emmering,44.5,44.4,44.2,9179119
09179121,Fürstenfeldbruck.GKSt,43.8,43.6,43.1,9179121
09179123,Germering.GKSt,44.9,44.8,44.7,9179123
09179125,Grafrath,45.1,45.2,45,9179125
09179126,Gröbenzell,46.5,46.1,46,9179126
09179128,Hattenhofen,43.5,42.9,42.7,9179128
09179130,Jesenwang,45.7,45.6,44.9,9179130
09179131,Kottgeisering,44.5,44.3,44.2,9179131
09179132,Landsberied,42.1,41.9,41.6,9179132
09179134,Maisach,43.5,43.2,42.9,9179134
09179136,Mammendorf,42,41.9,41.6,9179136
09179137,Mittelstetten,44.2,43.9,44,9179137
09179138,Moorenweis,42.8,42.4,42.3,9179138
09179140,Oberschweinbach,44.9,44.6,44.7,9179140
09179142,Olching.St,43.5,43.2,43.2,9179142
09179145,Puchheim.St,44.4,44.2,44,9179145
09179147,Schöngeising,45.7,45.3,45.3,9179147
09179149,Türkenfeld,44.7,44.1,43.8,9179149
09180112,BadKohlgrub,43.7,43.7,43.3,9180112
09180113,BadBayersoien,45.7,45.4,45.4,9180113
09180114,Eschenlohe,47.4,47.1,46.1,9180114
09180115,Ettal,43.7,43.4,42.6,9180115
09180116,Farchant,46.1,46.1,45.9,9180116
09180117,Garmisch-Partenkirchen.M,47.7,47.7,47.6,9180117
09180118,Grainau,47.1,47,46.8,9180118
09180119,Großweil,42.3,42.6,42.2,9180119
09180122,Krün,46.5,46.3,46,9180122
09180123,Mittenwald.M,48.1,47.8,47.6,9180123
09180124,Murnaua.Staffelsee.M,46.3,46.1,45.8,9180124
09180125,Oberammergau,46.4,46,45.9,9180125
09180126,Oberau,46.4,46.3,45.7,9180126
09180127,Ohlstadt,45.7,45.5,45.1,9180127
09180128,Riegsee,46.6,46.6,46.4,9180128
09180129,Saulgrub,43.9,44,44.1,9180129
09180131,Schwaigen,44.1,44,46.3,9180131
09180132,Seehausena.Staffelsee,46.2,45.9,45.6,9180132
09180133,Spatzenhausen,44.3,44,43.4,9180133
09180134,Uffinga.Staffelsee,45.6,45.3,45,9180134
09180135,Unterammergau,45.1,44.5,44.4,9180135
09180136,Wallgau,44.7,44.6,44.4,9180136
09181111,Apfeldorf,42.8,43.2,43.3,9181111
09181113,Denklingen,42.4,42.5,42.3,9181113
09181114,DießenamAmmersee.M,47.8,47.5,47.3,9181114
09181115,EchingamAmmersee,45.6,45.5,44.9,9181115
09181116,Eglinga.d.Paar,41.5,41.5,41.4,9181116
09181118,Eresing,42.6,42.7,42.7,9181118
09181120,Finning,41.7,41.3,40.9,9181120
09181121,Fuchstal,43.6,43.3,43.4,9181121
09181122,Geltendorf,43.8,43.7,43.6,9181122
09181123,Greifenberg,46.2,45.8,45.2,9181123
09181124,Hofstetten,43.2,43.2,43,9181124
09181126,Hurlach,38.6,38.1,38.4,9181126
09181127,Igling,43.1,42.8,42,9181127
09181128,Kaufering.M,45.1,45,44.8,9181128
09181129,Kinsau,43.3,43.2,42.8,9181129
09181130,LandsbergamLech.GKSt,44.1,43.9,43.7,9181130
09181131,Obermeitingen,40.9,40.7,40.8,9181131
09181132,Penzing,44.3,44.3,44.1,9181132
09181133,Vilgertshofen,44.6,44.4,44.4,9181133
09181134,Prittriching,43.1,43,43,9181134
09181135,Reichling,43.1,42.8,42.6,9181135
09181137,Rott,43.4,43,43,9181137
09181138,Scheuring,42.1,41.8,41.2,9181138
09181139,SchondorfamAmmersee,45.5,45.3,44.8,9181139
09181140,Schwifting,43.4,43.5,43.1,9181140
09181141,Pürgen,42.9,42.5,42.6,9181141
09181142,Thaining,42.1,42.3,42.6,9181142
09181143,Unterdießen,42.8,42.7,42,9181143
09181144,UttingamAmmersee,46,45.4,45.5,9181144
09181145,Weil,42.1,41.8,41.6,9181145
09181146,Windach,43.8,43.6,43.3,9181146
09182111,BadWiessee,49.2,49.3,49,9182111
09182112,Bayrischzell,47.3,47.3,46.6,9182112
09182114,Fischbachau,45.2,45.2,44.9,9182114
09182116,Gmunda.Tegernsee,46.5,46.5,46.5,9182116
09182119,Hausham,44.7,44.6,44.6,9182119
09182120,Holzkirchen.M,43.1,43,42.8,9182120
09182123,Irschenberg,40.6,40.4,40.4,9182123
09182124,Kreuth,47.2,46.8,46.8,9182124
09182125,Miesbach.St,44.6,44.5,44.2,9182125
09182127,Otterfing,43.4,42.9,42.9,9182127
09182129,Rottach-Egern,52.6,52.5,52.6,9182129
09182131,Schliersee.M,48.7,48.6,48.6,9182131
09182132,Tegernsee.St,50.4,50.4,50.2,9182132
09182133,Valley,42.1,41.6,41.3,9182133
09182134,Waakirchen,44.5,44.3,44.2,9182134
09182136,Warngau,42.3,41.9,41.7,9182136
09182137,Weyarn,42.1,42.1,42.2,9182137
09183112,Ampfing,43.9,44,44,9183112
09183113,Aschaua.Inn,42,42.1,41.9,9183113
09183114,Buchbach.M,44.6,44.5,44.4,9183114
